Comment,Designator,Footprint,LCSC,Quantity
R,R48,R_MiniMELF_MMA-0204,,1
C,C39,C_0805_2012Metric,,1
R,R24,R_MiniMELF_MMA-0204,,1
C,C37,C_0805_2012Metric,,1
C,C117,C_0805_2012Metric,,1
C,C149,C_0805_2012Metric,,1
MCP41HV51-103E_ST,VR7,SOP65P640X120-14N,,1
C,C43,C_0805_2012Metric,,1
MCP41HV51-103E_ST,VR12,SOP65P640X120-14N,,1
LT3045EMSE#PBF,IC1,SOP65P490X110-13N,,1
R,R46,R_MiniMELF_MMA-0204,,1
C,C70,C_0805_2012Metric,,1
MCP41HV51-103E_ST,VR1,SOP65P640X120-14N,,1
Y14x-1C-xxDS,K1,Relay_SPDT_HsinDa_Y14,,1
C,C61,C_0805_2012Metric,,1
OPA1612AxD,U25,SOIC-8_5.3x6.2mm_P1.27mm,,1
R,R87,R_MiniMELF_MMA-0204,,1
R,R31,R_MiniMELF_MMA-0204,,1
C,C163,C_0805_2012Metric,,1
TestPoint,LP2,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,BP3,TestPoint_Pad_1.0x1.0mm,,1
C,C40,C_0805_2012Metric,,1
MCP41HV51-103E_ST,VR17,SOP65P640X120-14N,,1
Y14x-1C-xxDS,K8,Relay_SPDT_HsinDa_Y14,,1
C,C48,C_0805_2012Metric,,1
R,R11,R_MiniMELF_MMA-0204,,1
C,C199,C_0805_2012Metric,,1
4.7k,R61,R_0805_2012Metric,,1
C,C201,C_0805_2012Metric,,1
C,C46,C_0805_2012Metric,,1
C,C124,C_0805_2012Metric,,1
TestPoint,HP4,TestPoint_Pad_1.0x1.0mm,,1
C,C136,C_0805_2012Metric,,1
MCP41HV51-103E_ST,VR5,SOP65P640X120-14N,,1
R,R114,R_MiniMELF_MMA-0204,,1
TestPoint,HP1,TestPoint_Pad_1.0x1.0mm,,1
R,R109,R_MiniMELF_MMA-0204,,1
C,C92,C_0805_2012Metric,,1
C,C56,C_0805_2012Metric,,1
DB2EKM-7.62-3P-GN-S,J1,TerminalBlock_CUI_TB007-508-03_1x03_P5.08mm_Horizontal,,1
OPA1612AxD,U18,SOIC-8_5.3x6.2mm_P1.27mm,,1
C,C33,C_0805_2012Metric,,1
C,C166,C_0805_2012Metric,,1
4.7k,R59,R_0805_2012Metric,,1
C,C115,C_0805_2012Metric,,1
TestPoint,LP7,TestPoint_Pad_1.0x1.0mm,,1
C,C112,C_0805_2012Metric,,1
C,C177,C_0805_2012Metric,,1
C,C97,C_0805_2012Metric,,1
MCP41HV51-103E_ST,VR30,SOP65P640X120-14N,,1
Y14x-1C-xxDS,K3,Relay_SPDT_HsinDa_Y14,,1
C,C126,C_0805_2012Metric,,1
C,C29,C_0805_2012Metric,,1
TestPoint,BP8,TestPoint_Pad_1.0x1.0mm,,1
R,R91,R_MiniMELF_MMA-0204,,1
C,C185,C_0805_2012Metric,,1
C,C181,C_0805_2012Metric,,1
R,R25,R_MiniMELF_MMA-0204,,1
C,C57,C_0805_2012Metric,,1
4.7k,R73,R_0805_2012Metric,,1
C,C105,C_0805_2012Metric,,1
4.7k,R62,R_0805_2012Metric,,1
R,R92,R_MiniMELF_MMA-0204,,1
MCP41HV51-103E_ST,VR10,SOP65P640X120-14N,,1
R,R43,R_MiniMELF_MMA-0204,,1
MCP41HV51-103E_ST,VR27,SOP65P640X120-14N,,1
C,C19,C_0805_2012Metric,,1
TestPoint,LP6,TestPoint_Pad_1.0x1.0mm,,1
C,C120,C_0805_2012Metric,,1
R,R96,R_MiniMELF_MMA-0204,,1
C,C194,C_0805_2012Metric,,1
C,C197,C_0805_2012Metric,,1
C,C41,C_0805_2012Metric,,1
R,R36,R_MiniMELF_MMA-0204,,1
C,C154,C_0805_2012Metric,,1
C,C169,C_0805_2012Metric,,1
R,R97,R_MiniMELF_MMA-0204,,1
4.7k,R51,R_0805_2012Metric,,1
R,R107,R_MiniMELF_MMA-0204,,1
OPA1612AxD,U4,SOIC-8_5.3x6.2mm_P1.27mm,,1
C,C94,C_0805_2012Metric,,1
MCP41HV51-103E_ST,VR29,SOP65P640X120-14N,,1
4.7k,R66,R_0805_2012Metric,,1
R,R102,R_MiniMELF_MMA-0204,,1
16.2k,R4,R_0805_2012Metric,,1
C,C129,C_Radial_D10.0mm_H20.0mm_P5.00mm,,1
R,R90,R_MiniMELF_MMA-0204,,1
R,R101,R_MiniMELF_MMA-0204,,1
C,C179,C_0805_2012Metric,,1
MCP41HV51-103E_ST,VR11,SOP65P640X120-14N,,1
4.7k,R65,R_0805_2012Metric,,1
C,C165,C_0805_2012Metric,,1
C,C98,C_0805_2012Metric,,1
C,C85,C_0805_2012Metric,,1
OPA1612AxD,U17,SOIC-8_5.3x6.2mm_P1.27mm,,1
MCP41HV51-103E_ST,VR33,SOP65P640X120-14N,,1
C,C114,C_0805_2012Metric,,1
4.7k,R67,R_0805_2012Metric,,1
OPA1612AxD,U20,SOIC-8_5.3x6.2mm_P1.27mm,,1
MCP41HV51-103E_ST,VR8,SOP65P640X120-14N,,1
4.7k,R52,R_0805_2012Metric,,1
100uH,L3,L_12x12mm_H8mm,,1
C,C44,C_0805_2012Metric,,1
R,R27,R_MiniMELF_MMA-0204,,1
R,R111,R_MiniMELF_MMA-0204,,1
R,R5,R_MiniMELF_MMA-0204,,1
R,R85,R_MiniMELF_MMA-0204,,1
R,R76,R_MiniMELF_MMA-0204,,1
C,C54,C_0805_2012Metric,,1
C,C93,C_0805_2012Metric,,1
C,C20,C_0805_2012Metric,,1
LT3094EMSE#PBF,IC2,SOP65P490X110-13N,,1
C,C32,C_0805_2012Metric,,1
4.7k,R71,R_0805_2012Metric,,1
MCP41HV51-103E_ST,VR9,SOP65P640X120-14N,,1
C,C134,C_0805_2012Metric,,1
C,C82,C_0805_2012Metric,,1
22uF,C18,C_0805_2012Metric,,1
C,C36,C_0805_2012Metric,,1
OPA1612AxD,U8,SOIC-8_5.3x6.2mm_P1.27mm,,1
TCA9548APWR,U12,TSSOP-24_4.4x7.8mm_P0.65mm,,1
