Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R86,R,R_MiniMELF_MMA-0204,185.724265,-187.509304,90.0,top
R87,R,R_MiniMELF_MMA-0204,203.924265,-210.909304,180.0,top
R88,R,R_MiniMELF_MMA-0204,203.924265,-208.609304,180.0,top
R89,R,R_MiniMELF_MMA-0204,201.474265,-204.759304,90.0,top
R9,R,R_MiniMELF_MMA-0204,265.897332,-114.868676,0.0,top
R90,R,R_MiniMELF_MMA-0204,202.724265,-192.209304,90.0,top
R91,R,R_MiniMELF_MMA-0204,206.524265,-190.809304,0.0,top
R92,R,R_MiniMELF_MMA-0204,248.87475,-210.90505,180.0,top
R93,R,R_MiniMELF_MMA-0204,241.67475,-213.30505,0.0,top
R94,R,R_MiniMELF_MMA-0204,223.47475,-187.50505,90.0,top
R95,R,R_MiniMELF_MMA-0204,241.67475,-210.90505,180.0,top
R96,R,R_MiniMELF_MMA-0204,241.67475,-208.60505,180.0,top
R97,R,R_MiniMELF_MMA-0204,239.22475,-204.75505,90.0,top
R98,R,R_MiniMELF_MMA-0204,240.47475,-192.20505,90.0,top
R99,R,R_MiniMELF_MMA-0204,244.27475,-190.80505,0.0,top
U1,AP3211K,SOT-23-6,104.11875,-161.5,180.0,top
U10,OPA1612AxD,SOIC-8_5.3x6.2mm_P1.27mm,244.417597,-94.343979,0.0,top
U11,ULN2803A,SOIC-18W_7.5x11.6mm_P1.27mm,84.55544,-212.680572,0.0,top
U12,TCA9548APWR,TSSOP-24_4.4x7.8mm_P0.65mm,163.83,-205.105,-90.0,top
U13,TCA9548APWR,TSSOP-24_4.4x7.8mm_P0.65mm,182.245,-229.87,180.0,top
U14,OPA1612AxD,SOIC-8_5.3x6.2mm_P1.27mm,195.222325,-78.384839,-90.0,top
U15,OPA1612AxD,SOIC-8_5.3x6.2mm_P1.27mm,206.622325,-94.334839,0.0,top
U16,OPA1612AxD,SOIC-8_5.3x6.2mm_P1.27mm,166.37,-76.835,0.0,top
U17,OPA1612AxD,SOIC-8_5.3x6.2mm_P1.27mm,206.024265,-201.609304,90.0,top
U18,OPA1612AxD,SOIC-8_5.3x6.2mm_P1.27mm,194.624265,-185.659304,180.0,top
U19,OPA1612AxD,SOIC-8_5.3x6.2mm_P1.27mm,243.77475,-201.60505,90.0,top
U2,AP3211K,SOT-23-6,66.8625,-166.0,180.0,top
U20,OPA1612AxD,SOIC-8_5.3x6.2mm_P1.27mm,232.37475,-185.65505,180.0,top
U21,OPA1612AxD,SOIC-8_5.3x6.2mm_P1.27mm,281.764,-202.059,90.0,top
U22,OPA1612AxD,SOIC-8_5.3x6.2mm_P1.27mm,270.364,-186.109,180.0,top
U23,OPA1612AxD,SOIC-8_5.3x6.2mm_P1.27mm,319.559272,-202.06814,90.0,top
U24,OPA1612AxD,SOIC-8_5.3x6.2mm_P1.27mm,308.159272,-186.11814,180.0,top
U25,OPA1612AxD,SOIC-8_5.3x6.2mm_P1.27mm,354.322332,-78.643676,180.0,top
U3,OPA1612AxD,SOIC-8_5.3x6.2mm_P1.27mm,315.897332,-117.868676,-90.0,top
U4,OPA1612AxD,SOIC-8_5.3x6.2mm_P1.27mm,350.512332,-162.463676,90.0,top
U5,OPA1612AxD,SOIC-8_5.3x6.2mm_P1.27mm,308.757332,-78.843675,-90.0,top
U6,OPA1612AxD,SOIC-8_5.3x6.2mm_P1.27mm,320.157332,-94.793675,0.0,top
U7,OPA1612AxD,SOIC-8_5.3x6.2mm_P1.27mm,271.006847,-78.847929,-90.0,top
U8,OPA1612AxD,SOIC-8_5.3x6.2mm_P1.27mm,282.406847,-94.797929,0.0,top
U9,OPA1612AxD,SOIC-8_5.3x6.2mm_P1.27mm,233.017597,-78.393979,-90.0,top
VR1,MCP41HV51-103E_ST,SOP65P640X120-14N,184.147332,-108.244676,90.0,top
VR10,MCP41HV51-103E_ST,SOP65P640X120-14N,349.417332,-148.025676,-90.0,top
VR11,MCP41HV51-103E_ST,SOP65P640X120-14N,305.157332,-61.843675,-90.0,top
VR12,MCP41HV51-103E_ST,SOP65P640X120-14N,322.307332,-84.693675,180.0,top
VR13,MCP41HV51-103E_ST,SOP65P640X120-14N,321.557332,-78.193675,180.0,top
VR14,MCP41HV51-103E_ST,SOP65P640X120-14N,307.757332,-93.743675,0.0,top
VR15,MCP41HV51-103E_ST,SOP65P640X120-14N,267.406847,-61.847929,-90.0,top
VR16,MCP41HV51-103E_ST,SOP65P640X120-14N,284.556847,-84.697929,180.0,top
VR17,MCP41HV51-103E_ST,SOP65P640X120-14N,283.806847,-78.197929,180.0,top
VR18,MCP41HV51-103E_ST,SOP65P640X120-14N,270.006847,-93.747929,0.0,top
VR19,MCP41HV51-103E_ST,SOP65P640X120-14N,229.417597,-61.393979,-90.0,top
VR2,MCP41HV51-103E_ST,SOP65P640X120-14N,260.161971,-108.552048,90.0,top
VR20,MCP41HV51-103E_ST,SOP65P640X120-14N,246.567597,-84.243979,180.0,top
VR21,MCP41HV51-103E_ST,SOP65P640X120-14N,245.817597,-77.743979,180.0,top
VR22,MCP41HV51-103E_ST,SOP65P640X120-14N,232.017597,-93.293979,0.0,top
VR23,MCP41HV51-103E_ST,SOP65P640X120-14N,191.622325,-61.384839,-90.0,top
VR24,MCP41HV51-103E_ST,SOP65P640X120-14N,208.772325,-84.234839,180.0,top
VR25,MCP41HV51-103E_ST,SOP65P640X120-14N,208.022325,-77.734839,180.0,top
VR26,MCP41HV51-103E_ST,SOP65P640X120-14N,194.222325,-93.284839,0.0,top
VR27,MCP41HV51-103E_ST,SOP65P640X120-14N,209.624265,-218.609304,90.0,top
VR28,MCP41HV51-103E_ST,SOP65P640X120-14N,192.474265,-195.759304,0.0,top
VR29,MCP41HV51-103E_ST,SOP65P640X120-14N,193.224265,-202.259304,0.0,top
VR3,MCP41HV51-103E_ST,SOP65P640X120-14N,222.047332,-107.930676,90.0,top
VR30,MCP41HV51-103E_ST,SOP65P640X120-14N,207.024265,-186.709304,180.0,top
